ORDER_DATE,TOTAL_ORDERS,AVG_DELAY,AVG_RATING,ON_TIME_RATE,DELAY_RATE
2025-04-03,2098,0.45,4.02,65.63,34.37
2025-04-13,2165,0.46,3.99,64.67,35.33
2025-04-24,2130,0.45,4.00,64.69,35.31
2025-05-01,2289,0.47,3.98,64.09,35.91
2025-05-10,2146,0.45,4.02,64.03,35.97
2025-05-13,2139,0.45,3.99,64.38,35.62
2025-05-17,2135,0.44,4.01,64.92,35.08
2025-05-28,2111,0.46,3.98,64.95,35.05
2025-06-09,2115,0.45,4.02,65.34,34.66
2025-06-11,2160,0.44,4.01,65.69,34.31
2025-06-19,2102,0.45,4.01,65.22,34.78
2025-06-22,2134,0.48,3.99,62.37,37.63
2025-06-25,2123,0.46,3.98,64.11,35.89
2025-07-21,2206,0.48,3.96,62.83,37.17
2025-08-04,2187,0.45,4.00,64.79,35.21
2025-08-07,2202,0.45,3.99,64.67,35.33
2025-08-09,2102,0.44,4.00,65.70,34.30
2025-08-10,2193,0.43,4.03,66.30,33.70
2025-08-15,2155,0.46,3.99,64.22,35.78
2025-08-25,2106,0.46,4.00,63.72,36.28
2025-08-28,2216,0.46,3.97,65.07,34.93
2025-08-29,2095,0.46,3.99,64.87,35.13
2025-09-03,2127,0.45,3.98,65.49,34.51
2025-09-06,2116,0.45,3.99,64.51,35.49
2025-09-21,2172,0.43,4.03,65.52,34.48
2025-09-29,2083,0.44,4.02,65.48,34.52
2025-10-02,2047,0.45,4.00,65.46,34.54
2025-10-03,2106,0.44,4.00,66.24,33.76
2025-10-22,2132,0.46,3.98,63.60,36.40
2025-10-26,2150,0.47,3.98,63.35,36.65
2025-10-27,2122,0.46,3.99,63.71,36.29
2025-10-29,2184,0.47,3.96,63.55,36.45
2025-11-05,2146,0.42,4.04,66.54,33.46
2025-11-08,2232,0.45,4.00,64.25,35.75
2025-11-18,2235,0.44,4.02,66.67,33.33
2025-11-19,2169,0.45,3.99,64.91,35.09
2025-11-21,2115,0.48,3.98,63.22,36.78
2025-11-22,2171,0.44,4.01,65.96,34.04
2026-01-02,2207,0.45,4.02,65.29,34.71
2026-01-08,2166,0.42,4.03,66.20,33.80
2026-01-13,2113,0.46,3.97,64.36,35.64
2026-01-20,2258,0.43,4.03,66.08,33.92
2026-01-27,2251,0.46,3.98,65.08,34.92
2026-01-30,2238,0.44,4.02,65.28,34.72
2026-02-14,2146,0.43,4.02,65.66,34.34
2026-02-15,2179,0.47,3.97,63.61,36.39
2026-02-17,2146,0.45,4.00,64.68,35.32
2026-02-18,2178,0.47,3.98,63.59,36.41
2026-03-20,2149,0.44,4.00,65.38,34.62
2025-04-20,2165,0.44,4.01,65.96,34.04
2025-04-25,2136,0.46,3.98,65.07,34.93
2025-05-11,2118,0.43,4.02,67.47,32.53
2025-05-14,2181,0.44,4.01,65.70,34.30
2025-05-31,2179,0.46,3.98,64.71,35.29
2025-06-01,2128,0.44,4.01,65.79,34.21
2025-06-08,2143,0.44,4.02,65.00,35.00
