ORDER_DATE,TOTAL_REVIEWS,AVG_CUSTOMER_RATING,AVG_SELLER_RATING,AVG_SENTIMENT_SCORE
2025-04-05,2156,3.73,3.93,0.39
2025-04-18,2193,3.74,3.95,0.39
2025-04-20,2165,3.72,3.97,0.39
2025-04-28,2172,3.68,3.91,0.36
2025-05-16,2112,3.72,3.95,0.39
2025-05-18,2187,3.68,3.93,0.38
2025-05-20,2144,3.72,3.94,0.38
2025-06-09,2115,3.73,3.94,0.38
2025-06-11,2160,3.71,3.92,0.38
2025-06-17,2184,3.71,3.92,0.37
2025-06-18,2149,3.75,3.95,0.38
2025-06-19,2102,3.73,3.94,0.39
2025-06-20,2175,3.74,3.96,0.39
2025-07-10,2105,3.73,3.94,0.38
2025-07-21,2206,3.73,3.96,0.39
2025-08-01,2136,3.70,3.93,0.38
2025-08-09,2102,3.72,3.98,0.38
2025-08-10,2193,3.71,3.92,0.36
2025-08-13,2185,3.70,3.92,0.39
2025-08-24,2177,3.70,3.90,0.37
2025-08-29,2095,3.69,3.90,0.37
2025-09-01,2111,3.68,3.90,0.36
2025-09-02,2247,3.72,3.92,0.38
2025-09-13,2170,3.76,3.97,0.39
2025-09-18,2107,3.73,3.95,0.39
2025-09-27,2202,3.71,3.89,0.36
2025-10-05,2104,3.75,3.97,0.38
2025-10-06,2187,3.72,3.95,0.38
2025-10-13,2093,3.71,3.94,0.38
2025-10-21,2138,3.69,3.91,0.36
2025-10-23,2214,3.72,3.92,0.37
2025-12-11,2205,3.72,3.93,0.38
2025-12-12,2196,3.70,3.90,0.36
2025-12-15,2158,3.72,3.92,0.38
2025-12-18,2147,3.73,3.95,0.40
2025-12-29,2155,3.70,3.93,0.37
2026-01-09,2154,3.71,3.90,0.37
2026-01-17,2116,3.74,3.93,0.38
2026-02-21,2180,3.69,3.90,0.37
2026-03-17,2215,3.72,3.93,0.38
2026-03-19,2204,3.73,3.95,0.38
2026-03-25,2115,3.70,3.93,0.38
2026-03-28,2160,3.74,3.94,0.39
2025-04-04,2158,3.72,3.92,0.39
2025-04-06,2173,3.73,3.94,0.39
2025-04-09,2190,3.75,3.97,0.39
2025-04-11,2131,3.69,3.94,0.38
2025-04-23,2204,3.73,3.97,0.39
2025-04-29,2185,3.70,3.93,0.38
2025-05-03,2114,3.75,3.96,0.39
2025-05-13,2139,3.72,3.94,0.39
2025-05-28,2111,3.72,3.93,0.38
2025-05-31,2179,3.74,3.94,0.38
2025-06-08,2143,3.69,3.94,0.37
2025-06-23,2096,3.71,3.93,0.40
2025-07-06,2271,3.74,3.95,0.39
2025-07-16,2201,3.71,3.95,0.39
