CAMPAIGN_NAME,CAMPAIGN_TYPE,OBJECTIVE,ACTIVE_DAYS,IMPRESSIONS,CLICKS,CONVERSIONS,SPEND,REVENUE,CTR,CVR,ROAS
Deploy Holistic Technologies,LOYALTY,ACQUISITION,154,34446309,1915113,102915,1162774.03,8149407.00,5.56,5.37,700.86
Deliver Web-Enabled Relationships,PROMOTIONAL,ACQUISITION,131,30201551,1677119,86957,1012892.28,6819320.64,5.55,5.18,673.25
Strategize Front-End Communities,PROMOTIONAL,ACQUISITION,144,33076761,1833805,92145,1062032.91,7325999.80,5.54,5.02,689.81
Seize Holistic Synergies,AWARENESS,ENGAGEMENT,148,33618658,1825798,83493,1083945.42,6407398.34,5.43,4.57,591.12
Transition Seamless Eyeballs,AWARENESS,ENGAGEMENT,134,10076613,2592218,208673,361635.25,23769656.44,25.73,8.05,6572.83
Grow Intuitive Functionalities,PROMOTIONAL,ENGAGEMENT,128,29619464,1606692,85386,1060578.93,6569992.54,5.42,5.31,619.47
Syndicate Bricks-And-Clicks E-Business,LOYALTY,ENGAGEMENT,118,27550525,1542474,71957,900394.84,5255004.17,5.60,4.67,583.63
Scale Synergistic E-Business,DISCOUNT,BRAND AWARENESS,146,30252406,1645040,83575,1071351.96,6283716.47,5.44,5.08,586.52
Re-Contextualize E-Business Relationships,DISCOUNT,BRAND AWARENESS,122,8367414,2090517,170434,328732.97,20798642.93,24.98,8.15,6326.91
Evolve Web-Enabled Networks,LOYALTY,RETENTION,116,29739385,1596100,78844,1041695.02,6033077.13,5.37,4.94,579.16
Implement Bricks-And-Clicks Bandwidth,LOYALTY,ENGAGEMENT,111,28658455,1622875,81995,1021596.77,6522329.81,5.66,5.05,638.44
Deploy Front-End Content,LOYALTY,ACQUISITION,88,30176787,1640256,81788,1024358.58,6367001.09,5.44,4.99,621.56
Iterate Transparent Schemas,AWARENESS,ACQUISITION,55,28540532,1549485,80216,1024670.23,6143839.60,5.43,5.18,599.59
Transform Turn-Key Channels,LOYALTY,ENGAGEMENT,41,30519888,1664435,82362,1122548.12,6557961.33,5.45,4.95,584.20
Generate Web-Enabled E-Markets,PROMOTIONAL,BRAND AWARENESS,109,28217826,1578959,78270,892248.95,5903176.98,5.60,4.96,661.61
Drive Scalable Technologies,PROMOTIONAL,RETENTION,100,8794419,2226217,178043,326402.39,20911658.48,25.31,8.00,6406.71
Utilize Strategic Web Services,AWARENESS,BRAND AWARENESS,89,7187897,1896238,149627,284320.10,16333886.80,26.38,7.89,5744.89
Optimize Integrated Platforms,AWARENESS,ENGAGEMENT,77,29290497,1557649,75087,968089.16,6201128.47,5.32,4.82,640.55
Revolutionize Clicks-And-Mortar Methodologies,LOYALTY,ENGAGEMENT,67,7681035,1884264,154461,283905.22,17626378.39,24.53,8.20,6208.54
Empower Out-Of-The-Box Functionalities,DISCOUNT,BRAND AWARENESS,54,9786057,2501557,199890,371091.23,21777869.20,25.56,7.99,5868.60
Streamline Compelling Eyeballs,DISCOUNT,BRAND AWARENESS,53,28515988,1576958,78264,966864.26,6063900.52,5.53,4.96,627.17
Mesh Rich Methodologies,PROMOTIONAL,BRAND AWARENESS,47,24108513,1327264,64450,856381.94,5057187.75,5.51,4.86,590.53
Matrix B2b Eyeballs,LOYALTY,RETENTION,35,29919800,1654561,83746,1032427.83,6328467.16,5.53,5.06,612.97
Target B2b Initiatives,LOYALTY,ACQUISITION,19,28041995,1559302,78638,970095.92,6299440.43,5.56,5.04,649.36
Iterate Dot-Com Users,AWARENESS,ACQUISITION,30,30662998,1677531,85276,1088402.28,7041221.03,5.47,5.08,646.93
Revolutionize Dot-Com Action-Items,AWARENESS,ACQUISITION,16,32365296,1827543,89671,1068336.04,6908239.49,5.65,4.91,646.64
Strategize Interactive Markets,LOYALTY,BRAND AWARENESS,150,31171118,1658487,81915,1025802.84,6209212.47,5.32,4.94,605.30
Target Granular Architectures,DISCOUNT,BRAND AWARENESS,132,27142555,1458276,72090,961417.63,5747458.24,5.37,4.94,597.81
