CAMPAIGN_NAME,CAMPAIGN_TYPE,OBJECTIVE,ACTIVE_DAYS,IMPRESSIONS,CLICKS,CONVERSIONS,SPEND,REVENUE,CTR,CVR,ROAS
Deploy Holistic Technologies,LOYALTY,ACQUISITION,154,7902539,188076,10718,72500.84,1631722.61,2.38,5.7,2250.63
Deliver Web-Enabled Relationships,PROMOTIONAL,ACQUISITION,131,9253796,189678,6226,58749.34,542712.77,2.05,3.28,923.78
Strategize Front-End Communities,PROMOTIONAL,ACQUISITION,144,10663932,279239,6726,64644.23,730957.95,2.62,2.41,1130.74
Seize Holistic Synergies,AWARENESS,ENGAGEMENT,148,3951098,44596,718,14327.54,31771.15,1.13,1.61,221.75
Transition Seamless Eyeballs,AWARENESS,ENGAGEMENT,134,4852470,51330,1024,20102.24,35057.17,1.06,2.0,174.39
Grow Intuitive Functionalities,PROMOTIONAL,ENGAGEMENT,128,6345627,98633,3546,34550.52,261332.09,1.55,3.6,756.38
Syndicate Bricks-And-Clicks E-Business,LOYALTY,ENGAGEMENT,118,7048199,234266,12376,57518.3,1375094.24,3.32,5.28,2390.71
Scale Synergistic E-Business,DISCOUNT,BRAND AWARENESS,146,8531580,443424,32216,37975.46,322160.0,5.2,7.27,848.34
Re-Contextualize E-Business Relationships,DISCOUNT,BRAND AWARENESS,122,4164474,297410,20600,20302.81,1079511.87,7.14,6.93,5317.06
Evolve Web-Enabled Networks,LOYALTY,RETENTION,116,5706012,214024,12333,38234.21,1455190.42,3.75,5.76,3805.99
Implement Bricks-And-Clicks Bandwidth,LOYALTY,ENGAGEMENT,111,6818750,194957,10519,48428.86,1010116.32,2.86,5.4,2085.77
Deploy Front-End Content,LOYALTY,ACQUISITION,88,5067112,155279,9547,35201.22,967382.14,3.06,6.15,2748.15
Iterate Transparent Schemas,AWARENESS,ACQUISITION,55,2487953,20651,306,5304.07,17496.94,0.83,1.48,329.88
Transform Turn-Key Channels,LOYALTY,ENGAGEMENT,41,2108014,77730,4093,23325.08,413835.95,3.69,5.27,1774.21
Generate Web-Enabled E-Markets,PROMOTIONAL,BRAND AWARENESS,109,4138585,86841,3244,28492.07,212334.19,2.1,3.74,745.24
Drive Scalable Technologies,PROMOTIONAL,RETENTION,100,5467203,101501,4480,40503.15,497853.89,1.86,4.41,1229.17
Utilize Strategic Web Services,AWARENESS,BRAND AWARENESS,89,3816357,38239,697,13997.87,36637.57,1.0,1.82,261.74
Optimize Integrated Platforms,AWARENESS,ENGAGEMENT,77,3585088,48461,213,19670.74,8129.81,1.35,0.44,41.33
Revolutionize Clicks-And-Mortar Methodologies,LOYALTY,ENGAGEMENT,67,2430542,88895,6664,15434.66,747040.32,3.66,7.5,4840.02
Empower Out-Of-The-Box Functionalities,DISCOUNT,BRAND AWARENESS,54,3324710,172619,10670,17613.25,913010.87,5.19,6.18,5183.66
Streamline Compelling Eyeballs,DISCOUNT,BRAND AWARENESS,53,2445891,122326,9026,15506.77,673721.99,5.0,7.38,4344.7
