STATE,CITY,IMPRESSIONS,CLICKS,CONVERSIONS,REVENUE,SPEND,CVR,ROAS
TELANGANA,WARANGAL,49837826,3061553,159986,13494930.96,1744922.61,5.23,773.38
HARYANA,PANIPAT,46881833,2868659,152415,13674165.92,1613709.11,5.31,847.37
BIHAR,DARBHANGA,51186991,3091254,163233,13573524.20,1830274.87,5.28,741.61
DELHI,NEW DELHI,50563369,3059170,174852,14833978.84,1767762.93,5.72,839.14
UTTAR PRADESH,KANPUR,53007957,3258985,183282,15219522.99,1955676.73,5.62,778.22
MADHYA PRADESH,UJJAIN,49156358,2952889,155750,12898826.88,1687693.71,5.27,764.29
WEST BENGAL,DURGAPUR,48107450,2938210,157546,13427824.63,1633076.39,5.36,822.24
WEST BENGAL,HALDIA,47623231,2873181,144905,11952787.42,1676401.40,5.04,713.00
BIHAR,MUZAFFARPUR,45533101,2747506,142886,12199893.23,1507113.35,5.20,809.49
ODISHA,ROURKELA,52343197,3055946,161099,13457190.21,1852477.94,5.27,726.44
MAHARASHTRA,AURANGABAD,48004027,2878843,153721,12677723.59,1593997.52,5.34,795.34
TELANGANA,NIZAMABAD,51940602,3186068,169752,13940987.05,1669366.87,5.33,835.11
TELANGANA,MAHBUBNAGAR,49896815,2981950,157197,13483870.94,1797545.50,5.27,750.13
TAMIL NADU,TIRUCHIRAPPALLI,44537279,2738647,141562,12417335.19,1575373.39,5.17,788.22
TAMIL NADU,SALEM,48028198,2833480,155401,13026144.53,1644416.84,5.48,792.14
KARNATAKA,TUMAKURU,46458514,2707867,144925,12047500.49,1615816.99,5.35,745.60
KERALA,KANNUR,49595908,3026779,156878,12866718.27,1778013.96,5.18,723.66
WEST BENGAL,SILIGURI,48751653,2906474,155492,13602792.56,1711251.93,5.35,794.90
TELANGANA,KARIMNAGAR,43223196,2738982,149777,13117448.87,1515258.43,5.47,865.69
DELHI,ROHINI,51985293,3132853,156856,13400429.31,1782079.77,5.01,751.95
MADHYA PRADESH,BHOPAL,56122656,3405217,175457,14785420.89,1925364.20,5.15,767.93
RAJASTHAN,UDAIPUR,48718599,2845071,156817,13059409.90,1674172.15,5.51,780.05
ASSAM,SILCHAR,48222313,2798644,149434,12878531.40,1633729.53,5.34,788.29
WEST BENGAL,KHARAGPUR,46408612,2882101,156689,13634282.78,1611533.23,5.44,846.04
KARNATAKA,SHIVAMOGGA,45632971,2699864,144036,11408978.55,1617667.58,5.33,705.27
BIHAR,GAYA,52295897,3172385,165517,13710171.72,1788740.06,5.22,766.47
KARNATAKA,HUBBALLI,55272063,3322320,180315,15661072.97,1834275.89,5.43,853.80
GUJARAT,GANDHINAGAR,53184106,3239782,169755,14371907.01,1778282.67,5.24,808.19
