MONTH_NAME,TOTAL_IMPRESSIONS,TOTAL_CLICKS,TOTAL_CONVERSIONS,TOTAL_SPEND,TOTAL_REVENUE,CTR,CONVERSION_RATE,CPA,ROAS
Jan,222745986,13206850,448515,14664755.07,39020592.75,5.93,3.4,32.7,266.08
Feb,232683141,13841982,586435,14348205.77,47142922.54,5.95,4.24,24.47,328.56
Dec,434886002,24464492,1210153,18570799.84,100226411.81,5.63,4.95,15.35,539.7
Jun,312436294,19236965,852763,16825037.79,78677788.81,6.16,4.43,19.73,467.62
Jul,261848716,14546410,596433,16893826.23,52683275.05,5.56,4.1,28.32,311.85
Aug,299438128,17624786,838994,17362369.19,75552437.17,5.89,4.76,20.69,435.15
May,267417225,15394001,661945,16389756.08,64148798.47,5.76,4.3,24.76,391.4
Sep,331601672,17980129,812358,16020295.36,60441167.34,5.42,4.52,19.72,377.28
Mar,318725869,18257906,836109,19489366.55,77494157.6,5.73,4.58,23.31,397.62
Apr,272127705,16640471,776395,14822848.89,62097536.06,6.11,4.67,19.09,418.93
Oct,336017466,19010708,821044,20807283.9,73529701.74,5.66,4.32,25.34,353.38
Nov,404537543,28423970,1139455,22362439.97,115066935.8,7.03,4.01,19.63,514.55
