CITY,STATE,REGION,AREA_TYPE,TOTAL_ORDERS,TOTAL_REVENUE,AVG_ORDER_VALUE,TOTAL_REFUND
JAIPUR,RAJASTHAN,NORTH,URBAN,6986,317654217.35,45134.16,39421523.48
BATHINDA,PUNJAB,NORTH,SEMI-URBAN,6965,298066862.13,42429.45,41482368.25
SAKET,DELHI,NORTH,SEMI-URBAN,6953,296018867.06,42155.92,31842939.80
MYSURU,KARNATAKA,SOUTH,SEMI-URBAN,6458,276623059.66,42459.41,31210211.24
AMRAVATI,MAHARASHTRA,WEST,SEMI-URBAN,7284,324055631.69,44047.25,43651217.75
NEW DELHI,DELHI,NORTH,URBAN,6517,294108203.75,44772.14,37393392.14
MARGAO,GOA,SOUTH,SEMI-URBAN,7232,294693086.86,40374.45,34401174.66
WARANGAL,TELANGANA,SOUTH,SEMI-URBAN,6662,277021015.68,41198.84,39475377.70
MOHALI,PUNJAB,NORTH,SEMI-URBAN,7115,302463973.83,42202.31,37985778.97
BHAGALPUR,BIHAR,EAST,SEMI-URBAN,7194,325664670.22,44863.57,46052592.18
KARIMNAGAR,TELANGANA,SOUTH,SEMI-URBAN,6381,282821495.36,43971.00,35566660.81
INDORE,MADHYA PRADESH,CENTRAL,URBAN,6525,264502133.18,40246.82,34571841.23
AURANGABAD,MAHARASHTRA,WEST,URBAN,7022,331128853.15,46690.48,38876927.82
THANE,MAHARASHTRA,WEST,SEMI-URBAN,6698,321140373.88,47505.97,39180029.74
MAHBUBNAGAR,TELANGANA,SOUTH,SEMI-URBAN,7081,312694398.15,43727.37,50407739.71
KHARAGPUR,WEST BENGAL,EAST,SEMI-URBAN,6877,288018649.51,41543.15,39783301.85
TEZPUR,ASSAM,EAST,SEMI-URBAN,7211,310432843.95,42659.45,35310258.24
GHAZIABAD,UTTAR PRADESH,NORTH,SEMI-URBAN,6779,294958162.98,43185.68,38740308.88
FARIDABAD,HARYANA,NORTH,SEMI-URBAN,7020,306144406.70,43271.29,38462972.69
CUTTACK,ODISHA,EAST,URBAN,6904,293088096.01,42116.41,38907880.75
NAGAON,ASSAM,EAST,SEMI-URBAN,7300,319585592.41,43363.04,49960245.58
PUNE,MAHARASHTRA,WEST,URBAN,7193,316162912.69,43524.63,46329852.06
MAPUSA,GOA,SOUTH,SEMI-URBAN,7377,304693394.42,40975.44,39786153.17
DWARKA,DELHI,NORTH,SEMI-URBAN,6937,302673255.76,43214.34,36767972.95
SAGAR,MADHYA PRADESH,CENTRAL,SEMI-URBAN,6410,278427837.45,43066.95,34374459.08
RAJKOT,GUJARAT,WEST,URBAN,6692,299620457.29,44368.50,41900548.66
DURGAPUR,WEST BENGAL,EAST,SEMI-URBAN,7200,310574011.47,42725.82,39855771.01
PURNIA,BIHAR,EAST,SEMI-URBAN,7151,320562381.50,44417.68,41476024.08
NIZAMABAD,TELANGANA,SOUTH,SEMI-URBAN,6598,280730556.89,42208.77,34801056.78
NAGPUR,MAHARASHTRA,WEST,URBAN,6989,298235991.99,42302.98,44370045.79
ARRAH,BIHAR,EAST,SEMI-URBAN,7045,306800698.44,43211.37,37682184.26
ROURKELA,ODISHA,EAST,URBAN,7630,351991353.60,45665.72,45073937.55
KANNUR,KERALA,SOUTH,SEMI-URBAN,7006,303274898.05,42902.09,32074485.86
BERHAMPUR,ODISHA,EAST,SEMI-URBAN,6891,284244722.18,40975.17,31480325.32
VELLORE,TAMIL NADU,SOUTH,SEMI-URBAN,6991,333334931.80,47254.74,37755258.88
DARBHANGA,BIHAR,EAST,SEMI-URBAN,6941,295035260.55,42165.97,38538644.51
