PRODUCT_ID,PRODUCT_NAME,CATEGORY,SUB_CATEGORY,BRAND,PRICE,TOTAL_ORDERS,TOTAL_QUANTITY_SOLD,GROSS_REVENUE,NET_REVENUE,REFUND_AMOUNT,AVG_SELLING_PRICE
PROD000010,NOTHING PHONE (2),ELECTRONICS,MOBILE,NOTHING,44999.0,342,494,63292270.5,51440355.05,11851915.45,128122.01
PROD000046,FITBIT SENSE 2,ELECTRONICS,SMARTWATCH,FITBIT,19999.0,445,643,35606562.74,30681415.87,4925146.87,55375.68
PROD000905,HOT GLUE GUN WITH 20 STICKS,STATIONERY,CRAFT MATERIALS,BOSCH,799.0,638,1697,3898936.07,3658287.8899999997,240648.18,2297.55
PROD000088,ARC MOUSE BLUETOOTH,ELECTRONICS,COMPUTER ACCESSORIES,MICROSOFT,3999.0,447,853,9762593.47,8441270.75,1321322.72,11445.01
PROD000113,SAREE SILK BLEND,CLOTHING,WOMEN,TANEIRA,4999.0,698,1010,13911246.02,11683430.17,2227815.85,13773.51
PROD000255,KITCHEN CABINET ORGANIZER,HOME,HOME STORAGE,NESTASIA,999.0,497,2104,5854374.3,5074395.45,779978.85,2782.5
PROD000211,NON-STICK COOKWARE SET 5-PIECE,HOME,KITCHEN,PRESTIGE,3499.0,346,960,9506671.6,8705972.67,800698.93,9902.78
PROD001071,SLIM MINIMALIST WALLET RFID,BAGS & LUGGAGE,WALLETS,SECRID,3999.0,754,1927,21803787.43,19005723.61,2798063.82,11314.89
PROD000963,BEADED STRETCH BRACELET SET 7,JEWELLERY,BRACELETS,PIPA BELLA,799.0,786,1888,4224579.8,3652624.23,571955.57,2237.6
PROD000520,RUSH HOUR TRAFFIC JAM,TOYS,PUZZLES,THINKFUN,1999.0,597,2021,11293206.3,10359101.73,934104.57,5587.93
PROD000369,V FOR VENDETTA,BOOKS,COMICS,ALAN MOORE / VERTIGO,999.0,911,2079,5934240.36,5725893.180000001,208347.18,2854.37
PROD000040,JABRA EVOLVE2 55,ELECTRONICS,HEADPHONES,JABRA,21999.0,420,607,38418058.62,32128703.929999996,6289354.69,63291.69
PROD001061,TOTE BAG LEATHER MEDIUM,BAGS & LUGGAGE,HANDBAGS,HIDESIGN,4999.0,358,517,7271195.66,6652249.37,618946.29,14064.21
PROD000837,PET VITAMIN D3 DROPS,PETS,HEALTHCARE,ZOETIS,349.0,690,3476,3476711.73,3011777.16,464934.57,1000.2
PROD000526,PICTIONARY AIR,TOYS,BOARD GAMES,MATTEL GAMES,2499.0,429,950,6551250.87,5663857.25,887393.62,6896.05
PROD000435,DART BOARD ELECTRONIC,SPORTS,INDOOR,UNICORN,3999.0,767,1797,20810302.5,17797716.1,3012586.4,11580.58
PROD000765,BOUNCER ROCKER ELECTRIC,BABY,BABY GEAR,FISHER-PRICE,6999.0,676,1427,27587585.54,23715149.34,3872436.2,19332.58
PROD001043,WILDCRAFT BACKPACK 30L,BAGS & LUGGAGE,BACKPACKS,WILDCRAFT,2999.0,570,823,6886226.69,5847149.61,1039077.08,8367.23
PROD001073,ZIP PURSE WOMEN SMALL,BAGS & LUGGAGE,WALLETS,LAVIE,999.0,612,2325,6624583.72,5813280.609999999,811303.11,2849.28
PROD000151,SHERWANI EMBROIDERED,CLOTHING,ETHNIC WEAR,MANYAVAR,14999.0,459,751,32332719.25,27214345.44,5118373.81,43052.89
PROD000385,WINGS OF FIRE,BOOKS,BIOGRAPHIES,A.P.J. ABDUL KALAM / ORIENT BLACKSWAN,249.0,978,6685,4775518.1,4533495.21,242022.89,714.36
PROD001198,SAMSUNG GEAR VR WITH CONTROLLER,GAMING,VR DEVICES,SAMSUNG,3999.0,442,1205,13336081.72,11797305.260000002,1538776.46,11067.29
PROD000992,BLOCK HEEL SANDAL STRAPPY,FOOTWEAR,WOMEN FOOTWEAR,STEVE MADDEN,5999.0,579,1123,18846964.3,16488416.71,2358547.59,16782.69
PROD000635,DRAGON FRUIT 1 PIECE,GROCERIES,FRUITS,NATURE'S BASKET,199.0,618,2503,1395587.72,1216883.43,178704.29,557.57
PROD000484,TEETHER RING SILICONE,TOYS,INFANT,SOPHIE LA GIRAFE,999.0,505,1005,2881624.79,2636557.14,245067.65,2867.29
PROD000706,MASSAGE GUN DEEP TISSUE,HEALTH,WELLNESS PRODUCTS,THERAGUN MINI,11999.0,325,469,16010911.48,14434023.82,1576887.66,34138.4
PROD000038,SOUNDCORE Q45,ELECTRONICS,HEADPHONES,ANKER,4999.0,734,1751,24305637.32,20015061.59,4290575.73,13881.0
PROD000064,LENOVO TAB P12 PRO,ELECTRONICS,TABLETS,LENOVO,54990.0,271,391,62083528.54,52157535.36,9925993.18,158781.4
PROD000431,TABLE TENNIS TABLE FOLDABLE,SPORTS,INDOOR,STAG,14999.0,515,744,32165560.21,27649986.55,4515573.66,43233.28
PROD000400,IBPS PO/MT CWE GUIDE,BOOKS,ENTRANCE PREP,DISHA PUBLICATIONS,699.0,825,2493,5016516.09,4765744.66,250771.43,2012.24
PROD001124,STAGE CUSTOM BIRCH 5-PIECE,MUSIC & INSTRUMENTS,DRUMS,YAMAHA,124999.0,538,777,273229737.26,232156599.73,41073137.53,351647.02
PROD000477,FINS SHORT BLADE TRAINING,SPORTS,SWIMMING,TYR,2499.0,737,1874,13208171.78,11986763.27,1221408.51,7048.12
PROD001026,REEBOK CLASSIC LEATHER,FOOTWEAR,CASUAL SHOES,REEBOK,6499.0,534,1257,22742106.6,19789111.64,2952994.96,18092.37
PROD000815,PREMIUM ADULT INDOOR CAT 1.5KG,PETS,CAT FOOD,HILLS SCIENCE DIET,2299.0,513,1412,9164905.72,8091848.340000001,1073057.38,6490.73
PROD001223,HIGH-BACK EXECUTIVE CHAIR,OFFICE SUPPLIES,OFFICE CHAIRS,FEATHERLITE,19999.0,409,600,34650067.15,31756119.02,2893948.13,57750.11
PROD000209,DISHWASHER 12-PLACE SETTING,HOME,APPLIANCES,BOSCH,42990.0,285,412,50277711.45,44963742.22,5313969.23,122033.28
PROD000337,1984,BOOKS,FICTION,GEORGE ORWELL / PENGUIN,249.0,868,4068,2915232.58,2808440.79,106791.79,716.63
PROD000183,QUEEN SIZE BED WITH STORAGE,HOME,FURNITURE,HOMETOWN,28999.0,327,472,37474794.93,33545549.34,3929245.59,79395.75
PROD001099,EYE MASK & EARPLUGS KIT,BAGS & LUGGAGE,TRAVEL KITS,LEWIS N. CLARK,699.0,586,1661,3308374.95,2808887.21,499487.74,1991.8
PROD000491,LEGO CLASSIC CREATIVE SET 484 PCS,TOYS,EDUCATIONAL,LEGO,4999.0,686,991,14135607.83,12674871.18,1460736.65,14263.98
PROD001034,WINGTIP SPECTATOR TWO-TONE,FOOTWEAR,FORMAL SHOES,ALLEN EDMONDS,28000.0,399,576,45802043.14,39401785.94,6400257.2,79517.44
PROD000977,FASTRACK BIKERS CHRONOGRAPH,JEWELLERY,WATCHES,FASTRACK,3995.0,483,739,8441110.57,7301311.53,1139799.04,11422.34
