CHANNEL_NAME,CHANNEL_TYPE,TOTAL_SESSIONS,TOTAL_PURCHASES,CONVERSION_RATE,AVG_SESSION_DURATION
AFFILIATE,DIGITAL,105616,105282,66.57,3626.83
SOCIAL,DIGITAL,105978,105930,66.73,3612.42
MARKETPLACES,DIGITAL,105482,105216,66.61,3618.08
PAID ADS,DIGITAL,106011,106294,66.91,3618.39
ORGANIC,DIGITAL,105897,106100,66.75,3607.67
APP,DIGITAL,106089,106132,66.67,3628.62
SMS,DIGITAL,105527,105670,66.77,3617.99
OFFLINE,OFFLINE,105739,105541,66.66,3611.68
REFERRAL,DIGITAL,105686,105571,66.64,3626.37
EMAIL,DIGITAL,105466,105788,66.79,3618.36
