AGE_GROUP,INCOME_BRACKET,GENDER,TOTAL_CUSTOMERS,TOTAL_SESSIONS,TOTAL_PURCHASES,CONVERSION_RATE
SENIOR (51-65),LOW,MALE,1885,21728,22011,67.42
ADULT (26-35),UPPER-MIDDLE,MALE,1228,14152,14142,67.00
ELDERLY (65+),LOWER-MIDDLE,OTHER,103,1242,1186,63.12
SENIOR (51-65),LOW,OTHER,183,2188,2193,65.81
ELDERLY (65+),HIGH,OTHER,34,405,412,68.15
YOUNG ADULT (18-25),LOWER-MIDDLE,FEMALE,1534,17874,17838,66.34
MID AGE (36-50),LOWER-MIDDLE,FEMALE,3078,36120,36308,67.07
ADULT (26-35),UPPER-MIDDLE,FEMALE,1218,14309,14137,66.48
ADULT (26-35),HIGH,MALE,767,8899,8871,66.46
YOUNG ADULT (18-25),LOWER-MIDDLE,OTHER,111,1264,1250,66.22
YOUNG ADULT (18-25),HIGH,MALE,588,6933,6931,66.87
ELDERLY (65+),LOWER-MIDDLE,FEMALE,1215,14085,14035,66.56
YOUNG ADULT (18-25),UPPER-MIDDLE,MALE,877,10134,9948,66.18
SENIOR (51-65),HIGH,MALE,1247,14303,14377,67.13
SENIOR (51-65),HIGH,FEMALE,1175,13797,13699,66.38
MID AGE (36-50),HIGH,OTHER,102,1207,1177,65.78
MID AGE (36-50),LOWER-MIDDLE,OTHER,245,2828,2810,65.91
ELDERLY (65+),UPPER-MIDDLE,OTHER,56,618,621,66.50
ADULT (26-35),LOWER-MIDDLE,FEMALE,2041,23885,23998,66.85
MID AGE (36-50),HIGH,MALE,1205,14126,14040,66.73
MID AGE (36-50),LOWER-MIDDLE,MALE,3149,36566,36752,67.09
YOUNG ADULT (18-25),MIDDLE,OTHER,174,1996,2013,68.14
ELDERLY (65+),MIDDLE,OTHER,138,1568,1625,68.18
SENIOR (51-65),LOW,FEMALE,1838,21296,21180,66.32
YOUNG ADULT (18-25),HIGH,OTHER,63,777,803,68.60
ELDERLY (65+),LOW,MALE,720,8422,8501,67.19
MID AGE (36-50),UPPER-MIDDLE,FEMALE,1854,21820,21975,67.08
ELDERLY (65+),HIGH,MALE,454,5084,5100,66.90
MID AGE (36-50),LOW,MALE,1845,21508,21570,66.61
ADULT (26-35),MIDDLE,MALE,2892,33458,33808,67.08
YOUNG ADULT (18-25),LOW,MALE,924,10913,10945,66.85
SENIOR (51-65),HIGH,OTHER,106,1122,1108,66.22
SENIOR (51-65),UPPER-MIDDLE,FEMALE,1868,21659,21762,67.20
ADULT (26-35),LOW,MALE,1271,14675,14685,66.83
ELDERLY (65+),LOW,FEMALE,716,8415,8350,66.07
YOUNG ADULT (18-25),MIDDLE,FEMALE,2038,23608,23512,66.63
SENIOR (51-65),UPPER-MIDDLE,OTHER,155,1808,1741,65.04
ADULT (26-35),MIDDLE,OTHER,247,2928,3003,67.76
SENIOR (51-65),MIDDLE,FEMALE,4426,51472,51642,66.80
SENIOR (51-65),LOWER-MIDDLE,FEMALE,3052,35604,35591,66.66
MID AGE (36-50),MIDDLE,FEMALE,4298,50112,49983,66.65
ADULT (26-35),LOWER-MIDDLE,MALE,2097,24471,24531,67.01
MID AGE (36-50),LOW,FEMALE,1865,21557,21518,66.59
YOUNG ADULT (18-25),LOW,FEMALE,910,10567,10548,66.30
ADULT (26-35),HIGH,FEMALE,781,8963,8931,66.58
ADULT (26-35),LOW,FEMALE,1252,14642,14476,65.81
SENIOR (51-65),MIDDLE,OTHER,375,4266,4202,65.87
ELDERLY (65+),UPPER-MIDDLE,FEMALE,708,8234,8252,66.60
YOUNG ADULT (18-25),UPPER-MIDDLE,FEMALE,871,10233,10329,67.45
SENIOR (51-65),UPPER-MIDDLE,MALE,1888,22232,22120,66.71
MID AGE (36-50),MIDDLE,MALE,4198,49247,49122,66.48
ELDERLY (65+),MIDDLE,MALE,1680,19387,19254,66.20
ELDERLY (65+),UPPER-MIDDLE,MALE,710,8344,8352,66.97
MID AGE (36-50),HIGH,FEMALE,1230,14347,14419,66.68
ADULT (26-35),LOWER-MIDDLE,OTHER,166,1894,1954,68.00
MID AGE (36-50),UPPER-MIDDLE,MALE,1846,21204,21025,66.37
SENIOR (51-65),LOWER-MIDDLE,OTHER,240,2733,2690,65.79
YOUNG ADULT (18-25),MIDDLE,MALE,2042,23588,23534,66.53
YOUNG ADULT (18-25),HIGH,FEMALE,575,6604,6590,66.78
ELDERLY (65+),LOW,OTHER,72,828,827,67.63
YOUNG ADULT (18-25),LOW,OTHER,73,874,879,67.51
MID AGE (36-50),LOW,OTHER,140,1611,1563,65.55
ADULT (26-35),MIDDLE,FEMALE,2857,33463,33290,66.46
SENIOR (51-65),MIDDLE,MALE,4295,50246,50494,66.99
MID AGE (36-50),UPPER-MIDDLE,OTHER,158,1835,1774,64.90
ELDERLY (65+),HIGH,FEMALE,471,5525,5397,65.67
ADULT (26-35),LOW,OTHER,113,1317,1294,65.83
ADULT (26-35),HIGH,OTHER,53,621,639,67.95
ELDERLY (65+),MIDDLE,FEMALE,1648,19159,19160,66.65
MID AGE (36-50),MIDDLE,OTHER,379,4320,4293,66.23
YOUNG ADULT (18-25),LOWER-MIDDLE,MALE,1517,17707,17860,67.08
ELDERLY (65+),LOWER-MIDDLE,MALE,1174,13599,13606,66.74
SENIOR (51-65),LOWER-MIDDLE,MALE,3140,36849,36888,66.53
ADULT (26-35),UPPER-MIDDLE,OTHER,116,1335,1302,65.02
YOUNG ADULT (18-25),UPPER-MIDDLE,OTHER,72,781,778,67.22
