MONTH_NAME,PRODUCT_VIEWS,ADD_TO_CART,CHECKOUT,PURCHASES,VIEW_TO_CART_RATE,CART_TO_CHECKOUT_RATE,CHECKOUT_TO_PURCHASE_RATE
Oct,713472,170408,93269,76722,23.88,54.73,82.26
Sep,730918,170529,107605,90717,23.33,63.1,84.31
Apr,698613,135437,68078,50168,19.39,50.27,73.69
Nov,799605,171048,103454,84404,21.39,60.48,81.59
Feb,560439,153425,89964,71850,27.38,58.64,79.87
Jun,620569,154998,94110,70172,24.98,60.72,74.56
Dec,811260,183301,82788,65079,22.59,45.17,78.61
Aug,689336,123820,71747,64187,17.96,57.95,89.46
May,663109,138361,77903,64325,20.87,56.3,82.57
Mar,635540,115781,58371,46992,18.22,50.42,80.51
Jan,590805,146790,77897,60876,24.85,53.07,78.15
Jul,679187,148034,72711,58160,21.8,49.12,79.99
