MONTH_NAME,TOTAL_SESSIONS,UNIQUE_CUSTOMERS,TOTAL_PAGE_VIEWS,TOTAL_PRODUCT_VIEWS,TOTAL_CART_ADDS,TOTAL_CHECKOUTS,TOTAL_PURCHASES,CONVERSION_RATE,AVG_SESSION_DURATION
Mar,321163,198049,8852117,635540,115781,58371,46992,14.63,290.7
Dec,435653,247742,11192449,811260,183301,82788,65079,14.94,326.96
Feb,303188,187861,7604015,560439,153425,89964,71850,23.7,367.61
Oct,408447,244791,11043543,713472,170408,93269,76722,18.78,318.16
Nov,405767,254706,9773635,799605,171048,103454,84404,20.8,334.92
Jan,291647,172164,7382581,590805,146790,77897,60876,20.87,268.07
Jul,301470,189007,8129512,679187,148034,72711,58160,19.29,354.16
Apr,331623,212542,9402116,698613,135437,68078,50168,15.13,364.76
Jun,309491,175660,8233725,620569,154998,94110,70172,22.67,366.33
Aug,335599,217661,8848888,689336,123820,71747,64187,19.13,335.92
May,355191,222570,9009437,663109,138361,77903,64325,18.11,385.37
Sep,373424,225272,9549259,730918,170529,107605,90717,24.29,299.16
