payment_id,payment_method,payment_provider,description
PAY001,Credit Card,Visa,Payment via Visa (Credit Card)
PAY002,Credit Card,Mastercard,Payment via Mastercard (Credit Card)
PAY003,Credit Card,RuPay,Payment via RuPay (Credit Card)
PAY004,Debit Card,Visa,Payment via Visa (Debit Card)
PAY005,Debit Card,Mastercard,Payment via Mastercard (Debit Card)
PAY006,Debit Card,RuPay,Payment via RuPay (Debit Card)
PAY007,UPI,PhonePe,Payment via PhonePe (UPI)
PAY008,UPI,Google Pay,Payment via Google Pay (UPI)
PAY009,UPI,Paytm,Payment via Paytm (UPI)
PAY010,UPI,Amazon Pay,Payment via Amazon Pay (UPI)
PAY011,Wallet,Paytm,Payment via Paytm (Wallet)
PAY012,Wallet,Amazon Pay,Payment via Amazon Pay (Wallet)
PAY013,Wallet,PhonePe,Payment via PhonePe (Wallet)
PAY014,Cash on Delivery,COD,Payment via N/A (Cash on Delivery)
